"MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","RaceNum","Num","KettoNum","Bamei","UmaKigoCD","SexCD","TozaiCD","ChokyosiCode","ChokyosiRyakusyo","Futan","Koryu"
"20240115","2024","0121","06","01","07","09","009","2021106816","マイネルブリックス","00","1","1","01133","黒岩陽一","570","0",
"20240115","2024","0121","06","01","07","09","010","2021106837","マイネルヴォルムス","00","1","1","01174","深山雅史","570","0",
"20240115","2024","0121","06","01","07","09","011","2021103329","ムビョウソクサイ","00","1","1","01109","伊藤大士","570","0",
"20240115","2024","0121","06","01","07","09","012","2021105040","ルカランフィースト","00","1","1","01097","鹿戸雄一","570","0",
"20240115","2024","0121","06","01","07","10","001","2020100116","アクションプラン","00","1","1","01150","池上昌和","570","0",
"20240115","2024","0121","06","01","07","10","002","2019106414","アスクビックスター","00","1","2","01075","矢作芳人","580","0",
"20240115","2024","0121","06","01","07","10","003","2019105634","カランセ","00","2","1","01132","金成貴史","560","0",
"20240115","2024","0121","06","01","07","10","004","2018101742","クインズミモザ","00","2","1","01150","池上昌和","560","0",
"20240115","2024","0121","06","01","07","10","005","2019105416","グーデンドラーク","00","1","2","01144","池添学","580","0",
"20240115","2024","0121","06","01","07","10","006","2020104497","サイモンザナドゥ","00","1","2","01185","小林真也","570","0",
"20240115","2024","0121","06","01","07","10","007","2018100830","ダイシンピスケス","00","1","2","00427","森秀行","580","0",
"20240115","2024","0121","06","01","07","10","008","2017106012","ダッチマン","00","3","2","01002","音無秀孝","580","0",
"20240115","2024","0121","06","01","07","10","009","2019106387","トップスティール","00","1","1","01174","深山雅史","580","0",
"20240115","2024","0121","06","01","07","10","010","2020103127","フラッパールック","00","2","1","01163","林徹","550","0",
"20240115","2024","0121","06","01","07","10","011","2019105604","ブレイクフォース","00","1","1","01153","中舘英二","580","0",
"20240115","2024","0121","06","01","07","10","012","2019106027","プリンスミノル","00","1","1","01153","中舘英二","580","0",
"20240115","2024","0121","06","01","07","10","013","2017102952","マイネルクロンヌ","00","1","1","01156","青木孝文","580","0",
"20240115","2024","0121","06","01","07","10","014","2017103607","ミヤビマドンナ","00","2","1","01153","中舘英二","560","0",
"20240115","2024","0121","06","01","07","10","015","2020106196","メイショウモズ","00","1","2","01083","松永昌博","570","0",
"20240115","2024","0121","06","01","07","10","016","2018101075","モズマゾク","00","1","2","01178","杉山佳明","580","0",
"20240115","2024","0121","06","01","07","10","017","2018104754","リファインドマナー","05","2","2","01178","杉山佳明","560","0",
"20240115","2024","0121","06","01","07","10","018","2018106451","レイクリエイター","00","1","2","01138","浜田多実","580","0",
"20240115","2024","0121","06","01","07","10","019","2019101168","レッドラパルマ","00","1","1","01059","加藤征弘","580","0",
"20240115","2024","0121","06","01","07","10","020","2018104574","ローズボウル","00","1","1","01163","林徹","580","0",
"20240115","2024","0121","06","01","07","10","021","2019105560","ヴァーンフリート","00","1","1","01038","手塚貴久","580","0",
"20240115","2024","0121","06","01","07","11","001","2018104895","アドマイヤハレー","00","1","1","01175","宮田敬介","570","0",
"20240115","2024","0121","06","01","07","11","002","2016106606","カラテ","00","1","2","01183","辻野泰之","570","0",
"20240115","2024","0121","06","01","07","11","003","2016101865","カルリーノ","00","1","1","00412","高橋裕","570","0",
"20240115","2024","0121","06","01","07","11","004","2017105074","クロミナンス","00","1","1","01103","尾関知人","570","0",
"20240115","2024","0121","06","01","07","11","005","2019101422","サンストックトン","00","1","1","01097","鹿戸雄一","570","0",
"20240115","2024","0121","06","01","07","11","006","2020103333","ショウナンバシット","00","1","2","01105","須貝尚介","560","0",
"20240115","2024","0121","06","01","07","11","007","2018101348","シルブロン","00","1","1","01167","稲垣幸雄","570","0",
"20240115","2024","0121","06","01","07","11","008","2018104609","チャックネイト","00","3","1","01070","堀宣行","570","0",
"20240115","2024","0121","06","01","07","11","009","2018103489","ホウオウリアリティ","00","1","1","01088","高木登","570","0",
"20240115","2024","0121","06","01","07","11","010","2016104618","ボッケリーニ","00","1","2","01071","池江泰寿","570","0",
"20240115","2024","0121","06","01","07","11","011","2016100752","マイネルウィルトス","00","1","2","01018","宮徹","570","0",
"20240115","2024","0121","06","01","07","11","012","2020103322","モリアーナ","00","2","1","01064","武藤善則","540","0",
"20240115","2024","0121","06","01","07","11","013","2019101782","ラーグルフ","00","1","1","00420","宗像義忠","570","0",
"20240115","2024","0121","08","01","07","09","001","2019100664","エグランタイン","00","2","2","01104","笹田和秀","560","0",
"20240115","2024","0121","08","01","07","09","002","2020102873","キミノナハマリア","00","2","2","01120","千田輝彦","550","0",
"20240115","2024","0121","08","01","07","09","003","2020104245","コイニョウボウ","00","2","2","01069","中尾秀正","550","0",
"20240115","2024","0121","08","01","07","09","004","2019105450","ショショローザ","00","2","2","01194","小栗実","560","0",
"20240115","2024","0121","08","01","07","09","005","2020109107","シランケド","00","2","2","01113","牧浦充徳","550","0",
"20240115","2024","0121","08","01","07","09","006","2018105408","シンシアリダーリン","00","2","2","01168","上村洋行","560","0",
"20240115","2024","0121","08","01","07","09","007","2020106144","ディヴァージオン","00","2","2","01062","藤岡健一","550","0",
"20240115","2024","0121","08","01","07","09","008","2018105084","ファジェス","00","2","2","00438","安田隆行","560","0",
"20240115","2024","0121","08","01","07","09","009","2020102883","フォーチュンコード","00","2","2","01185","小林真也","550","0",
"20240115","2024","0121","08","01","07","09","010","2019104538","マンクスホップ","00","2","2","01092","松永幹夫","560","0",
"20240115","2024","0121","08","01","07","09","011","2019105301","ロマンシングブルー","00","2","2","01155","渡辺薫彦","560","0",
"20240115","2024","0121","08","01","07","10","001","2018102264","アシタバ","00","2","2","01146","奥村豊","560","0",
"20240115","2024","0121","08","01","07","10","002","2019103064","アランチャータ","00","2","2","01168","上村洋行","560","0",
"20240115","2024","0121","08","01","07","10","003","2020105545","アルムラトゥール","00","1","2","01003","川村禎彦","580","0",
"20240115","2024","0121","08","01","07","10","004","2020110147","インヒズアイズ","06","2","2","01075","矢作芳人","560","0",
"20240115","2024","0121","08","01","07","10","005","2019105250","ウォームライト","00","1","2","01184","四位洋文","580","0",
