"RecordSpec","DataKubun","MakeDate","KettoNum","HansyokuFNum","HansyokuMNum","BirthYear","SaleCode","SaleHostName","SaleName","FromDate","ToDate","Barei","Price"
"HS","1","20070808","1996100716","11201495","12235605","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0006300000",
"HS","1","20070808","1996100740","11201467","12219149","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005250000",
"HS","1","20070808","1996100758","11200881","12225943","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005250000",
"HS","1","20070808","1996100805","11200940","12229470","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0002730000",
"HS","1","20070808","1996100806","11200956","12234097","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0009030000",
"HS","1","20070808","1996100811","11200779","12236940","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0005355000",
"HS","1","20070808","1996100814","11201514","12218827","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0014175000",
"HS","1","20070808","1996100818","11200911","12235620","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0003675000",
"HS","1","20070808","1996100831","11201293","12224115","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0016800000",
"HS","1","20070808","1996100844","11201166","12219535","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0008505000",
"HS","1","20070808","1996100845","11201399","12234101","1996","001019","日高軽種馬農業協同組合","北海道４月３歳トレーニングセール","19980421","19980421","2","0006405000",
"HS","1","20070808","1996100877","11201538","12223125","1996","001019","日高軽種馬農業協同組合","北海道４月３歳トレーニングセール","19980421","19980421","2","0005775000",
"HS","1","20070808","1996100883","11200707","12231238","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005355000",
"HS","1","20070808","1996100885","11200761","12236312","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005355000",
"HS","1","20070808","1996100887","11201358","12239026","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0002625000",
"HS","1","20070808","1996100897","11201358","12220753","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0002100000",
"HS","1","20070808","1996100898","11201507","12227775","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0004725000",
"HS","1","20070808","1996100899","11201511","12222982","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0006405000",
"HS","1","20070808","1996100926","11201505","12237344","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0001575000",
"HS","1","20070808","1996100942","11201398","12232321","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0005250000",
"HS","1","20070808","1996100948","11201354","12232323","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0008400000",
"HS","1","20070808","1996100960","11200834","12223355","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0007980000",
"HS","1","20070808","1996100961","11201166","12232328","1996","001012","日高軽種馬農業協同組合","北海道６月セレクト市場","19970603","19970603","1","0008505000",
"HS","1","20070808","1996100963","11201505","12220542","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0003150000",
"HS","1","20070808","1996100987","11201505","12212422","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0005250000",
"HS","1","20070808","1996100998","11201455","12230238","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0009030000",
"HS","1","20070808","1996101001","11200956","12229406","1996","001012","日高軽種馬農業協同組合","北海道６月セレクト市場","19970603","19970603","1","0015750000",
"HS","1","20070808","1996101016","11201011","12221154","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0006090000",
"HS","1","20070808","1996101017","11200779","12230243","1996","001012","日高軽種馬農業協同組合","北海道６月セレクト市場","19970603","19970603","1","0012600000",
